source,target
Ciliated cell(Lung),"epithelial cell of lung:mesodermal cell:pneumocyte:mesothelial cell of visceral pleura:|||:type D enteroendocrine cell:ciliated cell:Be cell:double-positive, alpha-beta thymocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:multi-ciliated epithelial cell:brush cell:nucleate cell:cultured cell:|||:Feyrter cell:parafollicular cell:type N enteroendocrine cell:B cell"
Clara Cell(Lung),"epithelial cell of lung:mesodermal cell:pneumocyte:brush cell of lobular bronchiole:|||:club cell:R6 photoreceptor cell:R8 photoreceptor cell:R1 photoreceptor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:collar cell:scleral cell:enterocyte of epithelium of large intestine:macular hair cell:|||:Kolmer-Agduhr neuron:R7 photoreceptor cell:R5 photoreceptor cell:R4 photoreceptor cell"
Columnar epithelium(Small-Intestine),"enterocyte of epithelium of small intestine:microfold cell of epithelium of small intestine:pancreatic goblet cell:enterocyte of epithelium of duodenal gland:|||:type D cell of small intestine:enterocyte of epithelium of large intestine:egg cell:small intestine goblet cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:paneth cell of epithelium of small intestine:enterocyte of epithelium proper of small intestine:epithelial cell of small intestine:microfold cell of epithelium proper of small intestine:|||:common lymphoid progenitor:CD4-positive, alpha-beta intraepithelial T cell:adult endothelial progenitor cell:pericyte cell"
Conventional dendritic cell_Gngt2 high(Lung),"epithelial cell of lung:pneumocyte:mesodermal cell:mesothelial cell of visceral pleura:|||:conventional dendritic cell:dendritic cell, human:parafollicular cell:dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pre-conventional dendritic cell:thymic conventional dendritic cell:mature conventional dendritic cell:immature conventional dendritic cell:|||:tip cell:Tc2 cell:Tc1 cell:nodal myocyte"
Conventional dendritic cell_H2-M2 high(Lung),"epithelial cell of lung:pneumocyte:mesothelial cell of visceral pleura:mesodermal cell:|||:parafollicular cell:dendritic cell, human:conventional dendritic cell:dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pre-conventional dendritic cell:mature conventional dendritic cell:thymic conventional dendritic cell:immature conventional dendritic cell:|||:tip cell:Tc2 cell:Tc1 cell:Feyrter cell"
Conventional dendritic cell_Mgl2 high(Lung),"epithelial cell of lung:pneumocyte:mesodermal cell:mesothelial cell of visceral pleura:|||:parafollicular cell:conventional dendritic cell:dendritic cell, human:dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pre-conventional dendritic cell:mature conventional dendritic cell:thymic conventional dendritic cell:immature conventional dendritic cell:|||:tip cell:Tc1 cell:Tc2 cell:Feyrter cell"
Conventional dendritic cell_Tubb5 high(Lung),"epithelial cell of lung:pneumocyte:mesodermal cell:mesothelial cell of visceral pleura:|||:parafollicular cell:conventional dendritic cell:dendritic cell, human:dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:pre-conventional dendritic cell:thymic conventional dendritic cell:mature conventional dendritic cell:immature conventional dendritic cell:|||:tip cell:Tc2 cell:Tc1 cell:M cell of gut"
Cumulus cell_Car14 high(Ovary),"stromal cell of ovarian medulla:luteal cell:theca cell:primordial germ cell:|||:cumulus cell:parafollicular cell:type G enteroendocrine cell:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:hilus cell of ovary:granulosa cell:chromaffin cell of right ovary:follicular cell of ovary:|||:T cell:type N enteroendocrine cell:M cell of gut:nodal myocyte"
Cumulus cell_Nupr1 high(Ovary),"stromal cell of ovarian medulla:luteal cell:theca cell:primordial germ cell:|||:cumulus cell:M cell of gut:type D enteroendocrine cell:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:hilus cell of ovary:granulosa cell:chromaffin cell of right ovary:follicular cell of ovary:|||:Feyrter cell:type G enteroendocrine cell:type N enteroendocrine cell:B cell"
Cumulus cell_Ube2c high(Ovary),"stromal cell of ovarian medulla:luteal cell:theca cell:primordial germ cell:|||:cumulus cell:parafollicular cell:type G enteroendocrine cell:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:hilus cell of ovary:chromaffin cell of right ovary:granulosa cell:follicular cell of ovary:|||:M cell of gut:nodal myocyte:Feyrter cell:B cell"
DPT cell(Thymus),"Leydig cell:primordial germ cell:primitive red blood cell:fetal derived definitive erythrocyte:|||:T cell:double-positive, alpha-beta thymocyte:PP cell:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of thymus:gamma-delta T cell:alveolar macrophage:type D enteroendocrine cell:|||:B cell:M cell of gut:nodal myocyte:type G enteroendocrine cell"
Dendritic cell(Muscle),"cell of skeletal muscle:adaxial cell:|||:dendritic cell:parafollicular cell:dendritic cell, human:Tc1 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:liver dendritic cell:mature conventional dendritic cell:dermal dendritic cell:adipose dendritic cell:|||:tip cell:Tc2 cell:type G enteroendocrine cell:type N enteroendocrine cell"
Dendritic cell(Neonatal-Heart),"cardiac muscle myoblast:primitive red blood cell:smooth muscle cell of the pulmonary artery:epicardial adipocyte:|||:parafollicular cell:dendritic cell:dendritic cell, human:Tc1 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:dendritic epidermal T cell:conventional dendritic cell:liver dendritic cell:embryonic cell (metazoa):|||:tip cell:Tc2 cell:nodal myocyte:B cell"
Dendritic cell(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:dendritic cell:dendritic cell, human:parafollicular cell:Tc1 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:dendritic epidermal T cell:liver dendritic cell:conventional dendritic cell:mature conventional dendritic cell:|||:tip cell:Tc2 cell:T cell:B cell"
Dendritic cell(Prostate),"epithelial cell of prostatic acinus:epithelial cell of prostatic duct:basal epithelial cell of prostatic duct:luminal epithelial cell of prostatic duct:|||:dendritic cell:parafollicular cell:dendritic cell, human:tip cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of prostate:dendritic epidermal T cell:liver dendritic cell:endocrine-paracrine cell of prostate gland:|||:Tc2 cell:Tc1 cell:type N enteroendocrine cell:type D enteroendocrine cell"
Dendritic cell(Stomach),"mucous cell of stomach:gastric goblet cell:|||:dendritic cell:parafollicular cell:dendritic cell, human:tip cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type D cell of stomach:liver dendritic cell:epithelial cell of stomach:dermal dendritic cell:|||:Tc2 cell:Tc1 cell:nodal myocyte:type D enteroendocrine cell"
Dendritic cell(Uterus),"epithelial cell of cervix:stromal cell of endometrium:decidual cell:placental epithelial cell:|||:dendritic cell:dendritic cell, human:parafollicular cell:Tc1 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:liver dendritic cell:dermal dendritic cell:mature conventional dendritic cell:adipose dendritic cell:|||:tip cell:Tc2 cell:type N enteroendocrine cell:Feyrter cell"
Dendritic cell_Ccr7 high(Kidney),"kidney interstitial cell:kidney cortical cell:kidney cortex collecting duct epithelial cell:kidney cortex interstitial cell:|||:parafollicular cell:dendritic cell, human:dendritic cell:tip cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myeloid dendritic cell, human:liver dendritic cell:conventional dendritic cell:mature conventional dendritic cell:|||:Tc1 cell:Tc2 cell:type G enteroendocrine cell:nodal myocyte"
Dendritic cell_Cd74 high(Bladder),"urothelial cell of trigone of urinary bladder:primitive red blood cell:renal filtration cell:bladder urothelial cell:|||:parafollicular cell:dendritic cell:dendritic cell, human:tip cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of gall bladder:myeloid dendritic cell, human:liver dendritic cell:conventional dendritic cell:|||:Tc2 cell:Tc1 cell:type D enteroendocrine cell:B cell"
Dendritic cell_Cst3 high(Kidney),"kidney interstitial cell:kidney cortical cell:kidney cortex collecting duct epithelial cell:renal filtration cell:|||:parafollicular cell:dendritic cell, human:dendritic cell:Tc1 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myeloid dendritic cell, human:liver dendritic cell:dermal dendritic cell:mature conventional dendritic cell:|||:tip cell:Tc2 cell:nodal myocyte:M cell of gut"
Dendritic cell_Cst3 high(Liver),"endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:mesodermal cell:|||:dendritic cell, human:parafollicular cell:liver dendritic cell:dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:conventional dendritic cell:macrophage dendritic cell progenitor:dermal dendritic cell:mature conventional dendritic cell:|||:tip cell:Tc2 cell:Tc1 cell:Feyrter cell"
Dendritic cell_Cst3 high(Mammary-Gland-Virgin),"myoepithelial cell of lactiferous alveolus:mammary alveolar cell:myoepithelial cell of acinus of lactiferous gland:ectodermal cell:|||:parafollicular cell:dendritic cell, human:dendritic cell:Tc1 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell of mammary gland:myeloid dendritic cell, human:luminal epithelial cell of mammary gland:macrophage dendritic cell progenitor:|||:tip cell:Tc2 cell:type N enteroendocrine cell:M cell of gut"
Dendritic cell_Fscn1 high(Mammary-Gland-Virgin),"myoepithelial cell of lactiferous alveolus:mammary alveolar cell:myoepithelial cell of acinus of lactiferous gland:ectodermal cell:|||:parafollicular cell:dendritic cell, human:dendritic cell:Tc2 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell of mammary gland:luminal epithelial cell of mammary gland:myeloid dendritic cell, human:macrophage dendritic cell progenitor:|||:Tc1 cell:tip cell:nodal myocyte:T cell"
Dendritic cell_H2-Eb1 high(Bone-Marrow),"mesodermal cell:bone cell:leukocyte:|||:dendritic cell, human:parafollicular cell:dendritic cell:Tc2 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor, CD34-positive:common myeloid progenitor:myeloid dendritic cell, human:mesenchymal stem cell of the bone marrow:|||:tip cell:Tc1 cell:Feyrter cell:nodal myocyte"
Dendritic cell_Lyz2 high(Bladder),"urothelial cell of trigone of urinary bladder:primitive red blood cell:renal filtration cell:bladder urothelial cell:|||:dendritic cell, human:dendritic cell:parafollicular cell:Tc2 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of gall bladder:myeloid dendritic cell, human:liver dendritic cell:conventional dendritic cell:|||:tip cell:Tc1 cell:Feyrter cell:type G enteroendocrine cell"
Dendritic cell_Naaa high(Lung),"epithelial cell of lung:mesodermal cell:pneumocyte:mesothelial cell of visceral pleura:|||:parafollicular cell:dendritic cell, human:dendritic cell:Tc2 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myeloid dendritic cell, human:plasmacytoid dendritic cell, human:conventional dendritic cell:liver dendritic cell:|||:tip cell:Tc1 cell:Feyrter cell:T cell"
Dendritic cell_S100a4 high(Spleen),"splenic metallophillic macrophage:mesodermal cell:mesenchymal stem cell of abdominal adipose:splenic marginal zone macrophage:|||:parafollicular cell:dendritic cell:dendritic cell, human:Tc2 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myeloid dendritic cell, human:conventional dendritic cell:liver dendritic cell:macrophage dendritic cell progenitor:|||:tip cell:Tc1 cell:type D enteroendocrine cell:type G enteroendocrine cell"
Dendritic cell_Siglech high(Bone-Marrow),"mesodermal cell:leukocyte:bone cell:|||:parafollicular cell:dendritic cell, human:endothelial cell of lymphatic vessel:dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor:common myeloid progenitor, CD34-positive:myeloid dendritic cell, human:macrophage dendritic cell progenitor:|||:Tc2 cell:Tc1 cell:tip cell:T cell"
Dendritic cell_Siglech high(Liver),"endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:intrahepatic cholangiocyte:mesodermal cell:|||:liver dendritic cell:parafollicular cell:dendritic cell:dendritic cell, human:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:conventional dendritic cell:macrophage dendritic cell progenitor:dermal dendritic cell:mature conventional dendritic cell:|||:endothelial cell of lymphatic vessel:tip cell:Tc1 cell:Tc2 cell"
Dendritic cell_Siglech high(Mammary-Gland-Virgin),"myoepithelial cell of lactiferous alveolus:mammary alveolar cell:myoepithelial cell of acinus of lactiferous gland:ectodermal cell:|||:dendritic cell, human:dendritic cell:parafollicular cell:tip cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell of mammary gland:luminal epithelial cell of mammary gland:myeloid dendritic cell, human:macrophage dendritic cell progenitor:|||:endothelial cell of lymphatic vessel:Tc1 cell:Tc2 cell:type N enteroendocrine cell"
